path,bpm,rms,centroid,score,tier
01_Rotations/clean_library/2D Music (Original Mix).mp3,123.05,0.24883,2637.8,0.4368,3
01_Rotations/120_CHILLOUT/Can’t Stop My Dreaming (Of You).mp3,117.45,0.12728,1775.5,0.1388,1
01_Rotations/150_HOUSE/adore u.1.flac,123.05,0.18597,2288.8,0.2688,2
01_Rotations/clean_library/16356956_Sunday Visitor_(A Visit From The Mingers).wav,129.2,0.06098,2550.6,0.2888,2
01_Rotations/05. Marky Mark and the Funky Bunch - Good Vibrations.flac,123.05,0.1641,2993.3,0.3001,2
01_Rotations/clean_library/100Hz - Lee Renacre - Whisper - String Mix.wav,129.2,0.11945,1880.4,0.2664,2
"01_Rotations/06 - $uicideboy$, Shakewell - Big Shot Cream Soda.flac",152.0,0.37715,2169.7,0.836,5
01_Rotations/clean_library/1130/Jesse Maas (Original Mix) 134.mp3,89.1,0.2191,4484.5,0.4316,3
01_Rotations/clean_library/2 Full Minds feat. E.Q_/No Smoke Remixes/04 No Smoke (Housey Doings remix).mp3,136.0,0.10042,1857.4,0.3946,2
01_Rotations/clean_library/187 Lockdown/Gunman/03 Gunman (original mix).wav,129.2,0.12169,3848.4,0.43,3
01_Rotations/clean_library/Adam Pits/Element X/01 Gazza.flac,68.0,0.22406,2347.6,0.2788,2
01_Rotations/clean_library/Arseslaughter/Disgrace to the Corpse of Arse/94 Heartwork.mp3,129.2,0.24625,1423.0,0.4614,3
01_Rotations/clean_library/Chris Stussy/Won’t Stop (Don’t)/01 Won’t Stop (Don’t).mp3,89.1,0.24802,2862.8,0.4106,3
01_Rotations/clean_library/DiSKOP/Disk 06/02 Boost.flac,129.2,0.05129,4184.0,0.4022,3
01_Rotations/clean_library/Digitalis/Collected Vinyl Breaks/08 Inside The Computer.flac,136.0,0.19789,2775.6,0.5945,3
01_Rotations/clean_library/Digitalis/Collected Vinyl Breaks/10 I Make Beats.flac,136.0,0.15001,3267.4,0.5688,3
01_Rotations/clean_library/Digitalis/Collected Vinyl Breaks/19 75mins DJ Mix by Digitalis.flac,136.0,0.1851,2800.4,0.5722,3
01_Rotations/clean_library/Holywater/Handle With Care/11 Step Forward.mp3,129.2,0.23119,1918.5,0.4554,3
99_Archive/clean/ACID HARRY - Latina Flex (Original Mix).mp3,123.05,0.29178,2454.0,0.5032,3
"99_Archive/clean/Alex Lago, Maty Badini - Papa Chela (Original Mix).mp3",83.35,0.21706,3028.0,0.3392,2
03_Shows/FraWo_Club/03 Memories Of The Secret.flac,136.0,0.09989,2466.1,0.442,3
"99_Archive/clean/Alex Lago, Maty Badini - Parapapapapa (Original Mix).mp3",123.05,0.20814,3241.1,0.4144,3
99_Archive/clean/Amadeo - Bayila (Original Mix).mp3,129.2,0.24277,3044.0,0.5793,3
99_Archive/clean/Amadeo - Double You (Original Mix).mp3,129.2,0.24901,2885.4,0.5787,3
99_Archive/clean/Amadeo - E-biza (Original Mix).mp3,129.2,0.25061,2700.2,0.5629,3
99_Archive/clean/Amadeo - Portal (Original Mix).mp3,129.2,0.228,2329.2,0.4795,3
99_Archive/clean/AndThen - Lonely Night (Square One Remix).mp3,83.35,0.21923,2922.0,0.3358,2
99_Archive/clean/Andrey Djackonda - Nature's Calling (Minube Remix).mp3,129.2,0.24529,1943.9,0.4854,3
99_Archive/clean/Andrey Djackonda - Nature's Calling (Original Mix).mp3,129.2,0.20064,2411.7,0.4244,3
"99_Archive/clean/BeYou (ES), Uwen - Ass & Things (Original Mix).mp3",129.2,0.32062,2343.5,0.6445,4
"99_Archive/clean/CASSIMM, Pietro, mc panda - Vem Pra Rave (Extended Mix).mp3",63.02,0.29289,2005.1,0.383,2
99_Archive/clean/DJ Sax (VEN) - La Respuesta (Original Mix).mp3,123.05,0.33906,1882.2,0.5048,3
99_Archive/clean/DJ W!ld - La Petite Faveur (Christian Burkhardt Remix).mp3,129.2,0.31235,2377.4,0.6388,4
99_Archive/clean/DJ W!ld - La Petite Faveur (Fsk24 Remix).mp3,129.2,0.2791,2406.5,0.5957,3
99_Archive/clean/DJ W!ld - La Petite Faveur (Original Mix).mp3,129.2,0.27496,2014.8,0.5557,3
99_Archive/clean/DJ W!ld - The Way You Make Me Move (Original Mix).mp3,86.13,0.20271,3275.0,0.3535,2
99_Archive/clean/DL88 - The Essence (Rizzo (Col) Remix).mp3,83.35,0.253,2045.9,0.3314,2
99_Archive/clean/Diamn - That Girl (Original Mix).mp3,129.2,0.26617,2992.0,0.6295,4
99_Archive/clean/Diamn - Filtro Solar (Original Mix).mp3,61.52,0.21413,3276.3,0.3428,2
99_Archive/clean/Diego Sosa - Spit That Sht (Original Mix).mp3,129.2,0.18869,3152.1,0.4811,3
99_Archive/clean/Diego Sosa - Trust Yourself (Bufalo GoLD Remix).mp3,129.2,0.21135,4039.1,0.576,3
99_Archive/clean/Diego Sosa - Trust Yourself (Chamacos Remix).mp3,129.2,0.22084,3051.5,0.5387,3
99_Archive/clean/Diego Sosa - Trust Yourself (Juanci Correia Remix).mp3,129.2,0.19377,3546.3,0.5221,3
99_Archive/clean/Diego Sosa - Trust Yourself (MartinoResi Remix).mp3,129.2,0.28855,2983.4,0.6707,4
99_Archive/clean/Diego Sosa - Trust Yourself (Original Mix).mp3,129.2,0.23758,3316.9,0.6018,4
99_Archive/clean/Diego Sosa - Trust Yourself (Santo G Remix).mp3,129.2,0.21046,3627.2,0.5624,3
99_Archive/clean/Diego Sosa - Work (Original Mix).mp3,129.2,0.21914,2698.5,0.4973,3
99_Archive/clean/Djonii - Rush (Original Mix).mp3,123.05,0.30745,1525.9,0.4621,3
99_Archive/clean/EDEF - House Of Pain (Extended Mix).mp3,129.2,0.21304,3675.2,0.5707,3
99_Archive/clean/Ekoboy - Nobody (Original Mix).mp3,129.2,0.23258,2490.4,0.5084,3
99_Archive/clean/Ekoboy - Shadow World (Original Mix).mp3,129.2,0.24085,1874.9,0.4762,3
99_Archive/clean/Ekoboy - Loner (Original Mix).mp3,129.2,0.24844,3041.3,0.599,3
99_Archive/clean/Erick Ray - Call Me (Original Mix).mp3,129.2,0.1783,3477.7,0.4906,3
99_Archive/clean/Erick Ray - R2D-Gruv (Original Mix).mp3,129.2,0.14758,3533.7,0.4477,3
99_Archive/clean/FDF (Italy) - Breakdancer (Original Mix).mp3,83.35,0.28974,3319.9,0.5247,3
"99_Archive/clean/Freddie Wall, Gluten Freak - Wok n' Roll (Original Mix).mp3",129.2,0.28368,2328.1,0.6009,4
"99_Archive/clean/Hassio (COL), Dieguito (FL) - Emeura (Original Mix).mp3",123.05,0.18423,2514.1,0.2863,2
"99_Archive/clean/Hassio (COL), Dieguito (FL) - Broadway Call (Original Mix).mp3",123.05,0.20711,3053.2,0.3906,2
"99_Archive/clean/Hassio (COL), Dieguito (FL) - Need Of Peace (Original Mix).mp3",129.2,0.23111,2676.2,0.5252,3
99_Archive/clean/Jayro - Zaysha (Original Mix).mp3,123.05,0.23353,1082.8,0.317,2
99_Archive/clean/Jero Lopez - I Wonder (Original Mix).mp3,129.2,0.17945,3630.6,0.5011,3
99_Archive/clean/Jero Lopez - Take It Back (Original Mix).mp3,129.2,0.20988,2999.8,0.5112,3
99_Archive/clean/Jhonny V - Welcome To The Jungle (Original Mix).mp3,129.2,0.31139,3110.8,0.7193,4
99_Archive/clean/Julian Collazos - La Factoria (Original Mix).mp3,129.2,0.3077,3234.2,0.7287,4
99_Archive/clean/Julian Collazos - La Rumba Me Esta Llamando (Original Mix).mp3,129.2,0.33038,3258.6,0.7525,4
99_Archive/clean/La Felix - Losing Control (Yerik US Remix).mp3,129.2,0.20691,2486.6,0.4502,3
99_Archive/clean/Line.y - Swoop (Ed Hoffman Remix).mp3,129.2,0.29204,1991.7,0.5916,3
99_Archive/clean/Luca Pernice - Let It Go (Original Mix).mp3,129.2,0.16698,1053.0,0.2995,2
99_Archive/clean/M.O.E - Check It Out (Original Mix).mp3,83.35,0.25195,3254.8,0.4473,3
99_Archive/clean/M.O.E - Take Me Higher (Original Mix).mp3,129.2,0.17716,3765.0,0.5037,3
99_Archive/clean/MAME - GHET-O (Daniel Cuda Remix).mp3,129.2,0.29196,2710.6,0.6528,4
"99_Archive/clean/Manuel De Lorenzi, Andrea Giuliani - Backflip (Original Mix).mp3",129.2,0.2152,2823.2,0.5057,3
99_Archive/clean/MAME - GHET-O (Original Mix).mp3,129.2,0.23108,3097.1,0.576,3
"99_Archive/clean/Manuel De Lorenzi, Giacomo Silvestri - Acid Stick (Original Mix).mp3",129.2,0.22257,4038.5,0.6071,4
99_Archive/clean/Matheiu - Hidden Realms (Original Mix).mp3,129.2,0.24575,1754.8,0.4843,3
99_Archive/clean/Matheiu - Lets Get Busy (Original Mix).mp3,129.2,0.32351,2108.3,0.6381,4
99_Archive/clean/Matheiu - Ritmo De Shuffle (Original Mix).mp3,129.2,0.33347,1596.2,0.6117,4
99_Archive/clean/Matheiu - Supersonic (Original Mix).mp3,129.2,0.17688,2663.0,0.4107,3
99_Archive/clean/Matheiu - Svm (Original Mix).mp3,129.2,0.18825,2578.5,0.4249,3
99_Archive/clean/Matheiu - Warming Up (Original Mix).mp3,129.2,0.28814,2071.5,0.5938,3
99_Archive/clean/Matias Burgos - Pleading (Original Mix).mp3,129.2,0.28284,2770.8,0.6458,4
"99_Archive/clean/Matias Javier, Thimo Beats - Move Your Body (Original Mix).mp3",129.2,0.29075,3064.4,0.693,4
"99_Archive/clean/Matias Javier, Thimo Beats - Now (Original Mix).mp3",129.2,0.31029,3367.4,0.7464,4
99_Archive/clean/Matichap - Easy Liquid (Original Mix).mp3,129.2,0.20511,3943.4,0.5684,3
99_Archive/clean/Matichap - Getting Stronger (Original Mix).mp3,129.2,0.19811,3229.7,0.5192,3
99_Archive/clean/Matichap - High Fidelity (Original Mix).mp3,129.2,0.24557,2168.2,0.5142,3
99_Archive/clean/Matichap - Wobbling Samba (Original Mix).mp3,129.2,0.20181,2865.1,0.4845,3
99_Archive/clean/Mattew - Ruthless (Original Mix).mp3,83.35,0.25819,3127.8,0.4482,3
"99_Archive/clean/Mattew, Yeiko Moreira - My First Time (Original Mix).mp3",129.2,0.20539,2792.8,0.4836,3
"99_Archive/clean/Mauricio Mesa, Orville Kline - Asi Es Colombia (Original Mix).mp3",123.05,0.3033,2643.4,0.5377,3
99_Archive/clean/Nicola Landgraf - Pre Game (Original Mix).mp3,123.05,0.23065,2949.1,0.4338,3
99_Archive/clean/Nor (cl) - No More Lies (Original Mix).mp3,129.2,0.28962,3441.6,0.7276,4
99_Archive/clean/Nor (cl) - Señorita (Original Mix).mp3,129.2,0.34627,3333.9,0.7714,4
"99_Archive/clean/Obscure Shape, URBAN CC - Mana (Traumer Stop Remix).mp3",129.2,0.25449,1996.6,0.5278,3
"99_Archive/clean/Obscure Shape, URBAN CC - Mana (Original Mix).mp3",66.26,0.27214,1472.9,0.323,2
"99_Archive/clean/Ollie Ballyn, Pedro Barros - Akari (Original Mix).mp3",123.05,0.20631,2626.9,0.3421,2
"99_Archive/clean/Ollie Ballyn, Pedro Barros - Yüyake (Original Mix).mp3",83.35,0.2526,2538.3,0.3708,2
"99_Archive/clean/Pathagonia, Noha, Alex Tea - Around The Corner (Original Mix).mp3",129.2,0.25969,2621.7,0.5885,3
"99_Archive/clean/Pathagonia, Noha, Alex Tea - Dropping (Original Mix).mp3",89.1,0.25513,2340.5,0.3806,2
"99_Archive/clean/Pathagonia, Noha, Alex Tea - Sing With Me (Original Mix).mp3",129.2,0.24773,2496.3,0.5489,3
"99_Archive/clean/Pathagonia, Noha, Alex Tea - Up In The Sky (Original Mix).mp3",129.2,0.27423,2256.2,0.5842,3
99_Archive/clean/Paul Dc - Manhattan (Original Mix).mp3,129.2,0.1826,2917.1,0.4532,3
99_Archive/clean/Phil-O - Why Do You Love Me (Original Mix).mp3,129.2,0.20945,2897.9,0.5079,3
99_Archive/clean/Ragie Ban - The Pieces (Original Mix).mp3,129.2,0.2749,1750.9,0.5521,3
99_Archive/clean/Reloader (UK) - Sharp (Richie Dio Remix).mp3,123.05,0.16009,3090.8,0.3091,2
99_Archive/clean/Reu.Ven - Sleep Paralysis (Original Mix).mp3,129.2,0.3267,1614.4,0.6149,4
99_Archive/clean/Rice&Beans - Showin' 'Out (Original Mix).mp3,129.2,0.2344,3851.4,0.6364,4
99_Archive/clean/Rypli - Mfreak (Original Mix).mp3,129.2,0.27671,3343.9,0.7016,4
99_Archive/clean/Sadro - Move For Me (Original Mix).mp3,123.05,0.16501,3035.6,0.309,2
99_Archive/clean/Rypli - Tuniyo (Original Mix).mp3,129.2,0.22855,3443.7,0.6079,4
"99_Archive/clean/Stanny Abram, Hidden View - Dancing (I Saw You) (Original Mix).mp3",123.05,0.3421,2962.3,0.6043,4
99_Archive/clean/Stephan Barbieri - Did What (Original Mix).mp3,123.05,0.27458,2020.3,0.4418,3
99_Archive/clean/Stephan Barbieri - Tika (Original Mix).mp3,129.2,0.18629,2164.0,0.3921,2
"99_Archive/clean/Techouzer, DJahir Miranda - My Gang (Original Mix).mp3",83.35,0.27931,3221.4,0.5006,3
99_Archive/clean/Stephan Barbieri - Tuka (Original Mix).mp3,129.2,0.23842,2787.1,0.5594,3
"99_Archive/clean/Techouzer, DJahir Miranda - On The Streets (Original Mix).mp3",129.2,0.27342,3051.1,0.6648,4
99_Archive/clean/Tito Jara - Black Jack (Original Mix).mp3,129.2,0.31834,2665.9,0.6892,4
99_Archive/clean/Tito Jara - Cutback (Original Mix).mp3,129.2,0.29262,2849.9,0.6775,4
99_Archive/clean/Tolle - El Ritmo (Original Mix).mp3,129.2,0.22702,2723.9,0.5323,3
99_Archive/clean/Tomhas - There4U (Original Mix).mp3,129.2,0.24025,2841.4,0.5711,3
99_Archive/clean/Tomhas - There4U (Silat Beksi Remix).mp3,129.2,0.21049,2299.6,0.4557,3
99_Archive/clean/Tomhas - Trauma Response (Original Mix).mp3,107.67,0.24397,2351.2,0.3731,2
99_Archive/clean/Tomhas - Zenozeno (Original Mix).mp3,89.1,0.22563,2595.6,0.3354,2
99_Archive/clean/Tomy Villacorta - Undark (Original Mix).mp3,129.2,0.44967,2282.1,0.6823,4
99_Archive/clean/Tomy Villacorta - Undark (Vito Vitela & Ray MD Remix).mp3,123.05,0.31415,2296.2,0.5213,3
"99_Archive/clean/Trimtone, DANROS, Tony Moran, Sian-Lee - Shine On (DJ Spen Extended Remix).mp3",123.05,0.29103,2889.9,0.5504,3
99_Archive/clean/Tube & Berger - Time To Push The Propaganda (Extended Mix).mp3,129.2,0.35103,2176.6,0.6634,4
99_Archive/clean/Valeria Croft - Delusion (Original Mix).mp3,123.05,0.29796,1486.0,0.4542,3
99_Archive/clean/Valeria Croft - Lighter Overture (Original Mix).mp3,123.05,0.20866,2114.8,0.3082,2
99_Archive/clean/Valeria Croft - Moon View (Original Mix).mp3,123.05,0.18829,2021.0,0.2593,2
99_Archive/clean/Valeria Croft - See You (Original Mix).mp3,123.05,0.1998,2614.3,0.3301,2
99_Archive/clean/Valeria Croft - Why Not (Original Mix).mp3,123.05,0.16726,1925.1,0.2136,2
99_Archive/clean/Vsetön - Surfing The Beat (Original Mix).mp3,129.2,0.26173,3156.5,0.661,4
99_Archive/clean/Vica Bah - Mamba (Original Mix).mp3,129.2,0.40441,1828.6,0.6481,4
99_Archive/clean/YORY - Cake Therapy (Original Mix).mp3,129.2,0.28383,2956.1,0.677,4
99_Archive/clean/YORY - We Muuvin (Original Mix).mp3,129.2,0.28473,2727.0,0.6554,4
"99_Archive/clean/Yousef, Kuuda - Loving Is Living (Original Mix).mp3",129.2,0.42193,2215.7,0.6774,4
99_Archive/clean/100Hz - Lee Renacre - Whisper - String Mix.wav,129.2,0.11945,1880.4,0.2896,2
99_Archive/clean/A Man Called Adam - Que Tal America (Evock Edit).wav,129.2,0.08085,1701.9,0.2576,2
99_Archive/clean/Blondie - Heart Of Glass ( Sergio DIAZ Reborn Edit )Mp3.mp3,123.05,0.18413,3317.2,0.3754,2
